KOSCOM_COM_CODE	COMP_NAME_K
11279	아모레퍼시픽
11458	한국관광공사
11464	흥국증권(구 흥국증권중개)
11802	부산교통공사
11884	애큐온캐피탈(구 케이티캐피탈)
11919	에이제이네트웍스(구 아주렌탈)
11959	맥쿼리한국인프라투융자회사
11987	현대커머셜
12072	주택금융공사SLBS2007-1(1-8)20y
12074	레드캡투어(구 미디어솔루션)
12160	LG헬로비전(구 씨제이헬로비전,씨제이케이블넷)
12242	SK이노베이션(구 SK에너지)
12366	CJ제일제당
12377	엘지엔시스
12428	대륜이엔에스(구 한진도시가스)
12468	세아홀딩스
12600	부산항만공사
12676	케이이씨
12709	한국팩키지
12715	광주신세계
12819	에스지에이(구 에스지어드밴택,어드밴텍테크놀로지스)
12848	한네트
12929	한국전자금융
13136	제이티
13166	후성
13174	갤럭시아커뮤니케이션즈(구 바로비젼)
13327	한국산업단지공단
13328	강원도개발공사
13419	반도건설
13422	대신에프앤아이(구 우리에프앤아이)
13539	씨제이푸드빌(구 푸드빌)
13581	예스이십사
13601	SBS미디어홀딩스(구 에스비에스홀딩스)
13639	비엠더블유파이낸셜서비스코리아
13768	풍산
13784	LS전선
13785	LS엠트론
13792	미래에셋자산운용투자자문(중복삭제)
13844	엔에이치농협캐피탈(구 엔에이치캐피탈)
13890	군인공제회
13908	아이비케이투자증권
13979	케이프투자증권(구 LIG투자증권)
13986	케이비금융지주
14012	한국광해광업공단(구 한국광물자원공사)
14512	주택금융공사SLBS2009-2(1-7)
14723	LX하우시스(구 엘지하우시스)
14727	인천항만공사
14953	에이캐피탈(구 제이티캐피탈, 스탠다드차타드캐피탈)
14957	한국장학재단
14990	에이치솔루션(구 한화에스앤씨)
15230	웰컴크레디라인
15286	롯데아이티테크(구 롯데정보통신)
15335	기보스틸
15653	에스케이엔무브(구 SK루브리컨츠)
15678	한국토지주택공사
15688	무림캐피탈
15915	휴맥스
16181	폴라리스쉬핑
16253	평택도시공사
16280	코오롱인더스트리
16284	바로크레디트대부
16550	다원시스
16578	유원우드
16625	우리에프아이에스(구 우리금융정보시스템)
16867	한국조폐공사
16969	아시아경제(구 아시아경제신문사)
17445	팜한농(구 동부팜한농,동부한농)
17481	미래에셋컨설팅
17608	주택금융공사MBS2010-7(1-8)
17662	한미약품
17733	연합자산관리
17773	노무라금융투자
17979	휠라홀딩스(구 휠라코리아)
17991	씨제이이앤엠(구 오미디어홀딩스)
18006	부영주택
18257	SK텔링크
18344	에스케이네트웍스서비스
18355	현대퓨처넷(구 현대에이치씨엔)
18403	에스케이에너지(주)
18404	SK지오센트릭(구 SK종합화학)
18497	케이비국민카드
18540	한국자산신탁
18667	이마트
18796	디지비금융지주
18869	메리츠금융지주
18984	코람코자산신탁
19070	BNK캐피탈
19081	스타벅스커피코리아
19112	대한민국재향군인회
19408	유클릭
19567	롯데로지스틱스
19582	에코캐피탈
19605	삼척블루파워(구 포스파워, 동양파워)
19748	대한송유관공사
19765	지에스에너지
19766	코리아오토글라스
40015	한화에너지 (구 여수열병합발전)
40019	비엔케이투자증권(구 비에스투자증권)
40481	과학기술인공제회
40588	동부익스프레스
40634	에스케이디앤디
40772	한국타이어앤테크놀로지(구 한국타이어)
41260	애경유화(애경케미칼)
41365	한국콜마
41440	신세계센트럴시티
41534	메리츠캐피탈
41728	동원건설산업
42147	우리카드
42411	디지비캐피탈
42412	케이티에스테이트
43076	SK인천석유화학
43148	포스코기술투자(구 포스텍기술투자)
43176	앤알캐피탈대부
43474	중앙일보엠앤피(구 중앙일보마케팅)
43515	현대종합특수강(구 동부특수강)
44660	코리아신탁
44721	삼성웰스토리
