KOSCOM_COM_CODE	COMP_NAME_K
5	경방
8	하이트진로 (구 진로)
12	씨제이대한통운(구 대한통운)
14	하이트진로홀딩스(구 하이트홀딩스)
15	두산
21	DL(구 대림산업)
30	대유플러스(구 대유신소재,엠앤에스,대유엠텍)
49	대동(구 대동공업)
50	가온전선(구 희성전선)
53	대한제지
64	동아쏘시오홀딩스(구 동아제약)
66	에스케이하이닉스(구 하이닉스반도체)
68	LS네트웍스(구 국제상사)
73	서울교통공사(상장폐지)
82	롯데건설
88	한화
104	CJ(구 제일제당)
112	LX인터내셔널(구 LG상사)
120	유진투자증권(구 서울증권)
123	동국제강
127	부국증권
129	상상인증권(구 골든브릿지투자증권, 브릿지증권)
134	백광산업
143	세아베스틸지주(구 세아베스틸,기아특수강)
146	비와이씨
150	현대차증권(구 현대차투자증권, HMC투자증권)
151	SK증권
172	신영증권
174	SK네트웍스(구 SK글로벌)
175	한양증권
180	오리온홀딩스(구 동양제과, 오리온)
188	DL건설(구 대림건설)
210	경농
215	도화엔지니어링(구 도화종합기술공사)
227	롯데푸드 (구 롯데삼강)
235	넥센타이어(구 우성타이어)
238	케이씨씨(구 금강고려화학)
246	화성산업(상장)
250	티이씨건설(구 명지건설)
260	조흥(구 조흥화학공업)
301	혜인
303	세아제강
307	코오롱글로벌(구 코오롱건설)
330	한일홀딩스(구 한일시멘트)
334	에스케이에코플랜트(구 SK건설)
338	하림지주(구 제일사료)
341	쌍용씨앤이(구 쌍용양회공업)
345	케이비증권(구 현대증권)
347	유안타증권 (구 동양증권)
353	한화투자증권(구 한화증권)
354	대신증권
368	한성기업
402	현대제철(구 인천제철. INI스틸)
405	현대오일뱅크
414	동방(상장)
417	신세계(구 신세계백화점)
436	세방(구 세방기업)
449	세방전지
451	디와이홀딩스(구 동양에레베이터)
454	깨끗한나라(구 대한펄프)
456	현대비앤지스틸(구:비앤지스틸)
465	창해에탄올(구 보해산업)
469	삼천리
471	한솔테크닉스(구 한솔LCD,한솔전자)
480	효성
481	롯데알미늄
496	한신공영
499	롯데지주(구 롯데제과)
508	GS칼텍스(구 LG-Caltex정유)
509	SGC에너지(구 삼광글라스)
530	롯데칠성음료
539	신성통상
544	현대지에프홀딩스(구 현대백화점H&S, 현대그린푸드)
550	삼진제약
584	전원산업
588	대한해운
594	NH투자증권(구 우리투자증권)
