KOSCOM_COM_CODE	TYPE	COMP_NAME_K	CRED_GRADE_TRADE_DATE	APPLY_GRADE	KIS_CRD_ESTI_DATE		NICE_CRD_ESTI_DATE	NICE_CRD_ESTI_GRADE	KR_CRD_ESTI_DATE	KR_CRD_ESTI_GRADE
11279       CP            아모레퍼시픽                                                  20221227  110         00000000  0           20221227  110         00000000  0           
11279       CP            아모레퍼시픽                                                  20220621  110         20201223  110         20220621  110         00000000  0           
11279       CP            아모레퍼시픽                                                  20211224  110         20201223  110         20211224  110         00000000  0           
11279       CP            아모레퍼시픽                                                  20210630  110         20201223  110         20210630  110         00000000  0           
11279       CP            아모레퍼시픽                                                  20201223  110         20201223  110         00000000  0           20191218  110         
11279       CP            아모레퍼시픽                                                  20200625  110         20200625  110         00000000  0           20191218  110         
11279       CP            아모레퍼시픽                                                  20191218  110         00000000  0           00000000  0           20191218  110         
11279       CP            아모레퍼시픽                                                  20190626  110         00000000  0           00000000  0           20190626  110         
11279       CP            아모레퍼시픽                                                  20181213  110         00000000  0           00000000  0           20181213  110         
11279       CP            아모레퍼시픽                                                  20180628  110         00000000  0           00000000  0           20180628  110         
11279       CP            아모레퍼시픽                                                  20171220  110         00000000  0           00000000  0           20171220  110         
11279       CP            아모레퍼시픽                                                  20170626  110         00000000  0           20151231  110         20170626  110         

11458       CP            한국관광공사                                                  20201214  110         00000000  0           20201214  110         00000000  0           
11458       CP            한국관광공사                                                  20201113  110         00000000  0           20200619  110         20201113  110         
11458       CP            한국관광공사                                                  20200624  110         00000000  0           20200619  110         20200624  110         
11458       CP            한국관광공사                                                  20200619  110         00000000  0           20200619  110         20191204  110         
11458       CP            한국관광공사                                                  20191204  110         00000000  0           20191106  110         20191204  110         
11458       CP            한국관광공사                                                  20191106  110         00000000  0           20191106  110         20190627  110         
11458       CP            한국관광공사                                                  20190627  110         00000000  0           20190621  110         20190627  110         
11458       CP            한국관광공사                                                  20190621  110         00000000  0           20190621  110         20181106  110         
11458       CP            한국관광공사                                                  20181106  110         20171222  110         20181031  110         20181106  110         
11458       CP            한국관광공사                                                  20181031  110         20171222  110         20181031  110         20180625  110         
11458       CP            한국관광공사                                                  20180625  110         20171222  110         20180625  110         20180625  110         
11458       CP            한국관광공사                                                  20171222  110         20171222  110         20161219  110         20171207  110         
11458       CP            한국관광공사                                                  20171207  110         20170626  110         20161219  110         20171207  110         
11458       CP            한국관광공사                                                  20170626  110         20170626  110         20161219  110         20170615  110         
11458       CP            한국관광공사                                                  20170615  110         20151228  110         20161219  110         20170615  110         

11464       CP            흥국증권(구 흥국증권중개)                                     20211224  131         20211223  131         20211224  131         20211221  131         
11464       전자단기사채  흥국증권(구 흥국증권중개)                                     20211224  131         20211223  131         20211224  131         20211221  131         
11464       CP            흥국증권(구 흥국증권중개)                                     20211221  131         20210707  131         20210628  131         20211221  131         
11464       전자단기사채  흥국증권(구 흥국증권중개)                                     20211221  131         20210707  131         20210628  131         20211221  131         
11464       CP            흥국증권(구 흥국증권중개)                                     20210707  131         20210707  131         20210628  131         20210630  131         
11464       전자단기사채  흥국증권(구 흥국증권중개)                                     20210707  131         20210707  131         20210628  131         20210630  131         
11464       CP            흥국증권(구 흥국증권중개)                                     20210630  131         00000000  0           20210628  131         20210630  131         
11464       전자단기사채  흥국증권(구 흥국증권중개)                                     20210630  131         00000000  0           20210628  131         20210630  131         
11464       CP            흥국증권(구 흥국증권중개)                                     20210628  131         00000000  0           20210628  131         20201112  131         
11464       전자단기사채  흥국증권(구 흥국증권중개)                                     20210628  131         00000000  0           20210628  131         20201204  131         
11464       전자단기사채  흥국증권(구 흥국증권중개)                                     20201208  131         00000000  0           20201208  131         20201204  131         
11464       CP            흥국증권(구 흥국증권중개)                                     20201112  131         00000000  0           20201030  131         20201112  131         
11464       CP            흥국증권(구 흥국증권중개)                                     20201030  131         00000000  0           20201030  131         00000000  0           

11802       CP            부산교통공사                                                  20221007  110         20221007  110         00000000  0           20221007  110         
